club,raw_label,division_key,headcount,school,rooms,schedule_team,games
Hasle/Løren,J2013,J2013,11,ELVERUM UNGDOMSSKOLE,B207,Hasle-Løren Blå,"Elverum Yngres Cup - Jenter 10 år - 01|08:00|Elverumshallen - Kortbane|HK Vestre Toten 2,Elverum Yngres Cup - Jenter 10 år - 01|14:39|Elverumshallen - Kortbane|Sverresborg 3,Elverum Yngres Cup - Gutter 10 år - 02|16:14|Elverumshallen - Kortbane|Elverum 3,Elverum Yngres Cup - Jenter 11 år - 02|11:52|Elvishallen|Røros 2,Elverum Yngres Cup - Gutter 11 år|13:46|Elvishallen|Elverum,Elverum Yngres Cup - Jenter 12 år - 03|14:05|Elvishallen|Elverum 2,Elverum Yngres Cup - Gutter 11 år|08:19|Terningen Arena|Ring IL,Elverum Yngres Cup - Jenter 11 år - 02|09:54|Terningen Arena|Tune Rød,Elverum Yngres Cup - Jenter 12 år - 03|13:23|Terningen Arena|Storhamar,Elverum Yngres Cup - Gutter 11 år|11:07|Terningen Arena|Utleira,Elverum Yngres Cup - Gutter 10 år - 02|11:29|Herneshallen - Kortbane|Røros,Elverum Yngres Cup - Jenter 10 år - 01|08:57|Herneshallen - Kortbane|Elverum,Elverum Yngres Cup - Jenter 11 år - 02|14:58|Herneshallen|Gjøvik HK,Elverum Yngres Cup - Gutter 11 år|11:29|Ydalir skole idrettshall|Drøbak/Frogn Blå,Elverum Yngres Cup - Jenter 11 år - 02|13:42|Ydalir skole idrettshall|Tydal,Elverum Yngres Cup - Jenter 12 år - 03|08:19|Ydalir skole idrettshall|Trysil,Elverum Yngres Cup - Gutter 10 år - 02|12:45|Ydalir skole idrettshall - Kortbane|Sverresborg 2,Elverum Yngres Cup - Gutter 10 år - 02|15:17|Ydalir skole idrettshall - Kortbane|Furnes 2,Elverum Yngres Cup - Jenter 12 år - 03|09:55|Søndre Elverum Idrettshall|Jotun 2,Elverum Yngres Cup - Jenter 10 år - 01|11:10|Søndre Elverum Idrettshall - Kortbane|Flisa"
Hasle/Løren,J2014,J2014,21,ELVERUM UNGDOMSSKOLE,B201,Hasle-Løren Blå,"Elverum Yngres Cup - Jenter 10 år - 01|08:00|Elverumshallen - Kortbane|HK Vestre Toten 2,Elverum Yngres Cup - Jenter 10 år - 01|14:39|Elverumshallen - Kortbane|Sverresborg 3,Elverum Yngres Cup - Gutter 10 år - 02|16:14|Elverumshallen - Kortbane|Elverum 3,Elverum Yngres Cup - Jenter 11 år - 02|11:52|Elvishallen|Røros 2,Elverum Yngres Cup - Gutter 11 år|13:46|Elvishallen|Elverum,Elverum Yngres Cup - Jenter 12 år - 03|14:05|Elvishallen|Elverum 2,Elverum Yngres Cup - Gutter 11 år|08:19|Terningen Arena|Ring IL,Elverum Yngres Cup - Jenter 11 år - 02|09:54|Terningen Arena|Tune Rød,Elverum Yngres Cup - Jenter 12 år - 03|13:23|Terningen Arena|Storhamar,Elverum Yngres Cup - Gutter 11 år|11:07|Terningen Arena|Utleira,Elverum Yngres Cup - Gutter 10 år - 02|11:29|Herneshallen - Kortbane|Røros,Elverum Yngres Cup - Jenter 10 år - 01|08:57|Herneshallen - Kortbane|Elverum,Elverum Yngres Cup - Jenter 11 år - 02|14:58|Herneshallen|Gjøvik HK,Elverum Yngres Cup - Gutter 11 år|11:29|Ydalir skole idrettshall|Drøbak/Frogn Blå,Elverum Yngres Cup - Jenter 11 år - 02|13:42|Ydalir skole idrettshall|Tydal,Elverum Yngres Cup - Jenter 12 år - 03|08:19|Ydalir skole idrettshall|Trysil,Elverum Yngres Cup - Gutter 10 år - 02|12:45|Ydalir skole idrettshall - Kortbane|Sverresborg 2,Elverum Yngres Cup - Gutter 10 år - 02|15:17|Ydalir skole idrettshall - Kortbane|Furnes 2,Elverum Yngres Cup - Jenter 12 år - 03|09:55|Søndre Elverum Idrettshall|Jotun 2,Elverum Yngres Cup - Jenter 10 år - 01|11:10|Søndre Elverum Idrettshall - Kortbane|Flisa"
Heradsbygda HK,G2012,G2012,11,ELVIS,C220,Heradsbygda,"Elverum Yngres Cup - Gutter 12 år - 01|11:46|Elverumshallen|Ottestad 2,Elverum Yngres Cup - Gutter 12 år - 01|18:09|Elvishallen|Sverresborg 2,Elverum Yngres Cup - Jenter 12 år - 03|14:43|Elvishallen|Storhamar,Elverum Yngres Cup - Gutter 12 år - 01|15:21|Elvishallen|Hasle-Løren Rød,Elverum Yngres Cup - Jenter 12 år - 03|14:01|Terningen Arena|Trysil,Elverum Yngres Cup - Gutter 12 år - 01|09:16|Ydalir skole idrettshall|Elverum,Elverum Yngres Cup - Jenter 12 år - 03|08:38|Ydalir skole idrettshall|Ottestad,Elverum Yngres Cup - Jenter 12 år - 03|08:46|Søndre Elverum Idrettshall|Elverum 2"
Heradsbygda HK,"J2012,3 lag",J2012,27,ELVIS,"C226,C227",Heradsbygda,"Elverum Yngres Cup - Gutter 12 år - 01|11:46|Elverumshallen|Ottestad 2,Elverum Yngres Cup - Jenter 12 år - 01|13:21|Elverumshallen|Bøler Blå,Elverum Yngres Cup - Jenter 12 år - 04|14:18|Elverumshallen|Søndre Land,Elverum Yngres Cup - Jenter 12 år - 01|15:15|Elverumshallen|Ring IL,Elverum Yngres Cup - Jenter 12 år - 01|08:38|Elvishallen|Koppang Håndballklubb 2,Elverum Yngres Cup - Gutter 12 år - 01|18:09|Elvishallen|Sverresborg 2,Elverum Yngres Cup - Jenter 12 år - 03|14:43|Elvishallen|Storhamar,Elverum Yngres Cup - Gutter 12 år - 01|15:21|Elvishallen|Hasle-Løren Rød,Elverum Yngres Cup - Jenter 12 år - 01|11:48|Terningen Arena|Varde 2,Elverum Yngres Cup - Jenter 12 år - 03|14:01|Terningen Arena|Trysil,Elverum Yngres Cup - Jenter 12 år - 04|14:39|Terningen Arena|Rena IL,Elverum Yngres Cup - Jenter 12 år - 04|08:00|Herneshallen|Sverresborg,Elverum Yngres Cup - Gutter 12 år - 01|09:16|Ydalir skole idrettshall|Elverum,Elverum Yngres Cup - Jenter 12 år - 04|10:32|Ydalir skole idrettshall|Hasle-Løren Grønn,Elverum Yngres Cup - Jenter 12 år - 03|08:38|Ydalir skole idrettshall|Ottestad,Elverum Yngres Cup - Jenter 12 år - 03|08:46|Søndre Elverum Idrettshall|Elverum 2"
Jardar IL,J2008,J2008,17,YDALIR,1.065,Jardar/Asker,"Elverum Yngres Cup - Jenter 16 år - 01|08:23|Elverumshallen|AFSK,Elverum Yngres Cup - Jenter 16 år - 01|19:39|Elvishallen|Skjetten,Elverum Yngres Cup J16 sluttspill|14:26|Terningen Arena|Lervik,Elverum Yngres Cup J16 sluttspill|17:30|Terningen Arena|Skjetten,Elverum Yngres Cup - Jenter 16 år - 01|11:04|Søndre Elverum Idrettshall|Lervik"
Jotun,G2012 + G2013,G2012,16,ELVIS,B136,Jotun,"Elverum Yngres Cup - Gutter 12 år - 02|13:02|Elverumshallen|Gjøvik HK 2,Elverum Yngres Cup - Jenter 12 år - 02|16:37|Elvishallen|Elverum,Elverum Yngres Cup - Gutter 12 år - 02|15:59|Elvishallen|Elverum 2,Elverum Yngres Cup - Jenter 12 år - 02|13:04|Terningen Arena|Lensbygda,Elverum Yngres Cup - Gutter 12 år - 02|10:13|Ydalir skole idrettshall|Kolbu KK,Elverum Yngres Cup - Jenter 12 år - 02|08:00|Søndre Elverum Idrettshall|Varde,Elverum Yngres Cup - Gutter 12 år - 02|12:50|Søndre Elverum Idrettshall|Ottestad,Elverum Yngres Cup - Jenter 12 år - 02|15:19|Søndre Elverum Idrettshall|Storhamar 2"
Jotun,"J2012 ,2 lag",J2012,18,ELVIS,B137,Jotun,"Elverum Yngres Cup - Gutter 12 år - 02|13:02|Elverumshallen|Gjøvik HK 2,Elverum Yngres Cup - Jenter 12 år - 02|16:37|Elvishallen|Elverum,Elverum Yngres Cup - Jenter 12 år - 03|14:24|Elvishallen|Trysil,Elverum Yngres Cup - Gutter 12 år - 02|15:59|Elvishallen|Elverum 2,Elverum Yngres Cup - Jenter 12 år - 02|13:04|Terningen Arena|Lensbygda,Elverum Yngres Cup - Jenter 12 år - 03|13:42|Terningen Arena|Ottestad,Elverum Yngres Cup - Gutter 12 år - 02|10:13|Ydalir skole idrettshall|Kolbu KK,Elverum Yngres Cup - Jenter 12 år - 03|08:00|Ydalir skole idrettshall|Storhamar,Elverum Yngres Cup - Jenter 12 år - 02|08:00|Søndre Elverum Idrettshall|Varde,Elverum Yngres Cup - Jenter 12 år - 03|09:55|Søndre Elverum Idrettshall|Hasle-Løren Blå,Elverum Yngres Cup - Gutter 12 år - 02|12:50|Søndre Elverum Idrettshall|Ottestad,Elverum Yngres Cup - Jenter 12 år - 02|15:19|Søndre Elverum Idrettshall|Storhamar 2"
Kolbu IL,G2012,G2012,17,YDALIR,2.039,Kolbu KK,"Elverum Yngres Cup - Gutter 12 år - 02|12:43|Elverumshallen|Ottestad,Elverum Yngres Cup - Gutter 12 år - 02|18:38|Elvishallen|Elverum 2,Elverum Yngres Cup - Gutter 12 år - 02|15:40|Elvishallen|Sverresborg,Elverum Yngres Cup - Gutter 12 år - 02|10:13|Ydalir skole idrettshall|Jotun"
Koppang,J2012,J2012,13,YDALIR,"1.080,1.084",Koppang,"Elverum Yngres Cup - Jenter 12 år - 04|14:37|Elverumshallen|Sverresborg,Elverum Yngres Cup - Jenter 12 år - 04|18:19|Elvishallen|Søndre Land,Elverum Yngres Cup - Jenter 12 år - 04|14:20|Terningen Arena|Elverum 3,Elverum Yngres Cup - Jenter 12 år - 04|08:38|Herneshallen|Rena IL"
Lensbygda,G2015,G2015,12,YDALIR,2.073,Lensbygda,"Elverum Yngres Cup - Jenter 12 år - 02|18:00|Elverumshallen|Elverum,Elverum Yngres Cup - Jenter 7 år - 01|08:38|Elverumshallen - Mini 1|Rena Idrettslag,Elverum Yngres Cup - Jenter 9 år - 02|10:32|Elverumshallen - Kortbane|Røros 2,Elverum Yngres Cup - Jenter 7 år - 01|11:10|Elverumshallen - Mini 1|Flisa,Elverum Yngres Cup - Gutter 9 år|12:45|Elverumshallen - Kortbane|Vang HL,Elverum Yngres Cup - Gutter 9 år|13:23|Elverumshallen - Kortbane|Elverum,Elverum Yngres Cup - Jenter 7 år - 01|13:42|Elverumshallen - Mini 1|Koppang Håndballklubb,Elverum Yngres Cup - Jenter 12 år - 02|13:04|Terningen Arena|Jotun,Elverum Yngres Cup - Gutter 8 år|08:38|Herneshallen - mini 1|Elverum,Elverum Yngres Cup - Gutter 9 år|08:38|Herneshallen - Kortbane|Elverum 3,Elverum Yngres Cup - Gutter 8 år|10:32|Herneshallen - mini 1|Jømna og Heradsbygd Håndballgruppe 2,Elverum Yngres Cup - Gutter 8 år|11:48|Herneshallen - mini 1|Varde/Gjøvik 2,Elverum Yngres Cup - Jenter 9 år - 02|15:17|Herneshallen - Kortbane|Elverum 2,Elverum Yngres Cup - Jenter 9 år - 02|12:07|Herneshallen - Kortbane|Storhamar gul,Elverum Yngres Cup - Jenter 12 år - 02|09:16|Ydalir skole idrettshall|Storhamar 2,Elverum Yngres Cup - Gutter 9 år|14:20|Ydalir skole idrettshall - Kortbane|Elverum 3,Elverum Yngres Cup - Jenter 12 år - 02|08:23|Søndre Elverum Idrettshall|Hasle-Løren Rød,Elverum Yngres Cup - Jenter 9 år - 02|09:35|Søndre Elverum Idrettshall - Kortbane|Hasle-Løren Gul"
Lensbygda,J2012,J2012,11,YDALIR,2.062,Lensbygda,"Elverum Yngres Cup - Jenter 12 år - 02|18:00|Elverumshallen|Elverum,Elverum Yngres Cup - Jenter 7 år - 01|08:38|Elverumshallen - Mini 1|Rena Idrettslag,Elverum Yngres Cup - Jenter 9 år - 02|10:32|Elverumshallen - Kortbane|Røros 2,Elverum Yngres Cup - Jenter 7 år - 01|11:10|Elverumshallen - Mini 1|Flisa,Elverum Yngres Cup - Gutter 9 år|12:45|Elverumshallen - Kortbane|Vang HL,Elverum Yngres Cup - Gutter 9 år|13:23|Elverumshallen - Kortbane|Elverum,Elverum Yngres Cup - Jenter 7 år - 01|13:42|Elverumshallen - Mini 1|Koppang Håndballklubb,Elverum Yngres Cup - Jenter 12 år - 02|13:04|Terningen Arena|Jotun,Elverum Yngres Cup - Gutter 8 år|08:38|Herneshallen - mini 1|Elverum,Elverum Yngres Cup - Gutter 9 år|08:38|Herneshallen - Kortbane|Elverum 3,Elverum Yngres Cup - Gutter 8 år|10:32|Herneshallen - mini 1|Jømna og Heradsbygd Håndballgruppe 2,Elverum Yngres Cup - Gutter 8 år|11:48|Herneshallen - mini 1|Varde/Gjøvik 2,Elverum Yngres Cup - Jenter 9 år - 02|15:17|Herneshallen - Kortbane|Elverum 2,Elverum Yngres Cup - Jenter 9 år - 02|12:07|Herneshallen - Kortbane|Storhamar gul,Elverum Yngres Cup - Jenter 12 år - 02|09:16|Ydalir skole idrettshall|Storhamar 2,Elverum Yngres Cup - Gutter 9 år|14:20|Ydalir skole idrettshall - Kortbane|Elverum 3,Elverum Yngres Cup - Jenter 12 år - 02|08:23|Søndre Elverum Idrettshall|Hasle-Løren Rød,Elverum Yngres Cup - Jenter 9 år - 02|09:35|Søndre Elverum Idrettshall - Kortbane|Hasle-Løren Gul"
Lensbygda,J2015,J2015,13,YDALIR,2.043,Lensbygda,"Elverum Yngres Cup - Jenter 12 år - 02|18:00|Elverumshallen|Elverum,Elverum Yngres Cup - Jenter 7 år - 01|08:38|Elverumshallen - Mini 1|Rena Idrettslag,Elverum Yngres Cup - Jenter 9 år - 02|10:32|Elverumshallen - Kortbane|Røros 2,Elverum Yngres Cup - Jenter 7 år - 01|11:10|Elverumshallen - Mini 1|Flisa,Elverum Yngres Cup - Gutter 9 år|12:45|Elverumshallen - Kortbane|Vang HL,Elverum Yngres Cup - Gutter 9 år|13:23|Elverumshallen - Kortbane|Elverum,Elverum Yngres Cup - Jenter 7 år - 01|13:42|Elverumshallen - Mini 1|Koppang Håndballklubb,Elverum Yngres Cup - Jenter 12 år - 02|13:04|Terningen Arena|Jotun,Elverum Yngres Cup - Gutter 8 år|08:38|Herneshallen - mini 1|Elverum,Elverum Yngres Cup - Gutter 9 år|08:38|Herneshallen - Kortbane|Elverum 3,Elverum Yngres Cup - Gutter 8 år|10:32|Herneshallen - mini 1|Jømna og Heradsbygd Håndballgruppe 2,Elverum Yngres Cup - Gutter 8 år|11:48|Herneshallen - mini 1|Varde/Gjøvik 2,Elverum Yngres Cup - Jenter 9 år - 02|15:17|Herneshallen - Kortbane|Elverum 2,Elverum Yngres Cup - Jenter 9 år - 02|12:07|Herneshallen - Kortbane|Storhamar gul,Elverum Yngres Cup - Jenter 12 år - 02|09:16|Ydalir skole idrettshall|Storhamar 2,Elverum Yngres Cup - Gutter 9 år|14:20|Ydalir skole idrettshall - Kortbane|Elverum 3,Elverum Yngres Cup - Jenter 12 år - 02|08:23|Søndre Elverum Idrettshall|Hasle-Løren Rød,Elverum Yngres Cup - Jenter 9 år - 02|09:35|Søndre Elverum Idrettshall - Kortbane|Hasle-Løren Gul"
Lervik,J2008,J2008,15,YDALIR,1.085,Lervik,"Elverum Yngres Cup - Jenter 16 år - 01|15:05|Elvishallen|AFSK,Elverum Yngres Cup - Jenter 16 år - 01|17:00|Elvishallen|Skjetten,Elverum Yngres Cup J16 sluttspill|14:26|Terningen Arena|Jardar/Asker,Elverum Yngres Cup - Jenter 16 år - 01|11:04|Søndre Elverum Idrettshall|Jardar/Asker"
Lisleby,"J2014,2 lag",J2014,18,FRYDENLUND,D128,Lisleby Blå,"Elverum Yngres Cup - Jenter 10 år - 02|08:57|Elverumshallen - Kortbane|Flisa 2,Elverum Yngres Cup - Jenter 10 år - 03|13:04|Herneshallen - Kortbane|Trysil IL,Elverum Yngres Cup - Jenter 10 år - 02|09:35|Herneshallen - Kortbane|Hasle-Løren Grønn,Elverum Yngres Cup - Jenter 10 år - 03|10:32|Herneshallen - Kortbane|Sverresborg,Elverum Yngres Cup - Jenter 10 år - 03|08:00|Ydalir skole idrettshall - Kortbane|HK Vestre Toten,Elverum Yngres Cup - Jenter 10 år - 02|11:48|Søndre Elverum Idrettshall - Kortbane|Elverum 2,Elverum Yngres Cup - Jenter 10 år - 03|12:26|Søndre Elverum Idrettshall - Kortbane|Elverum 3,Elverum Yngres Cup - Jenter 10 år - 02|13:04|Søndre Elverum Idrettshall - Kortbane|Sverresborg 2"
Ottestad,"G2012,2 lag",G2012,17,YDALIR,2.060,Ottestad,"Elverum Yngres Cup - Jenter 12 år - 03|19:16|Elverumshallen|Storhamar,Elverum Yngres Cup - Gutter 12 år - 02|19:54|Elverumshallen|Gjøvik HK 2,Elverum Yngres Cup - Gutter 12 år - 01|20:13|Elverumshallen|Gjøvik HK,Elverum Yngres Cup - Gutter 12 år - 01|11:46|Elverumshallen|Heradsbygda,Elverum Yngres Cup - Gutter 12 år - 02|12:43|Elverumshallen|Kolbu KK,Elverum Yngres Cup - Gutter 12 år - 01|15:51|Elvishallen|Hasle-Løren Rød,Elverum Yngres Cup - Jenter 12 år - 03|16:14|Elvishallen|Elverum 2,Elverum Yngres Cup - Jenter 11 år - 01|09:01|Elvishallen|Tydal 2,Elverum Yngres Cup - Jenter 11 år - 01|11:33|Elvishallen|Bjørkelangen/Høland,Elverum Yngres Cup - Jenter 11 år - 01|09:35|Terningen Arena|Røros,Elverum Yngres Cup - Jenter 12 år - 03|13:42|Terningen Arena|Jotun 2,Elverum Yngres Cup - Gutter 12 år - 01|08:57|Ydalir skole idrettshall|Sverresborg 2,Elverum Yngres Cup - Gutter 12 år - 02|09:35|Ydalir skole idrettshall|Sverresborg,Elverum Yngres Cup - Jenter 11 år - 01|13:04|Ydalir skole idrettshall|Sverresborg 2,Elverum Yngres Cup - Jenter 12 år - 03|08:38|Ydalir skole idrettshall|Heradsbygda,Elverum Yngres Cup - Gutter 12 år - 02|12:50|Søndre Elverum Idrettshall|Jotun"
Ring IL,G2013,G2013,13,ELVERUM UNGDOMSSKOLE,B306,Ring IL,"Elverum Yngres Cup - Jenter 12 år - 01|18:38|Elverumshallen|Koppang Håndballklubb 2,Elverum Yngres Cup - Jenter 13 år - 03|20:32|Elverumshallen|Trysil,Elverum Yngres Cup - Gutter 9 år|13:04|Elverumshallen - Kortbane|Elverum 2,Elverum Yngres Cup J13 B-sluttspill|08:46|Elverumshallen|Utleira 2,Elverum Yngres Cup J14 Sluttspill|09:32|Elverumshallen|Nordstrand,Elverum Yngres Cup - Jenter 12 år - 01|15:15|Elverumshallen|Heradsbygda 3,Elverum Yngres Cup - Jenter 12 år - 01|08:19|Elvishallen|Hasle-Løren Gul,Elverum Yngres Cup - Jenter 14 år - 02|10:52|Elvishallen|Utleira,Elverum Yngres Cup - Jenter 13 år - 03|12:47|Elvishallen|Hasle-Løren 2,Elverum Yngres Cup - Gutter 11 år|08:19|Terningen Arena|Hasle-Løren Blå,Elverum Yngres Cup - Jenter 12 år - 01|08:00|Terningen Arena|Gjøvik HK,Elverum Yngres Cup - Gutter 11 år|08:38|Terningen Arena|Jotun/Årdalstangen,Elverum Yngres Cup - Gutter 11 år|09:16|Terningen Arena|Elverum,Elverum Yngres Cup - Gutter 11 år|12:07|Ydalir skole idrettshall|Elverum 2,Elverum Yngres Cup - Gutter 9 år|11:10|Ydalir skole idrettshall - Kortbane|Røros,Elverum Yngres Cup - Gutter 9 år|14:01|Ydalir skole idrettshall - Kortbane|Elverum,Elverum Yngres Cup - Gutter 9 år|14:39|Ydalir skole idrettshall - Kortbane|Hasle-Løren Gul,Elverum Yngres Cup - Jenter 14 år - 02|11:50|Søndre Elverum Idrettshall|Kongsvinger,Elverum Yngres Cup - Jenter 13 år - 03|13:55|Søndre Elverum Idrettshall|Bøler,Elverum Yngres Cup - Jenter 14 år - 02|15:04|Søndre Elverum Idrettshall|Varde 2,Elverum Yngres Cup - Jenter 13 år - 03|16:59|Søndre Elverum Idrettshall|Utleira"
Ring IL,G2015,G2015,9,ELVERUM UNGDOMSSKOLE,B303,Ring IL,"Elverum Yngres Cup - Jenter 12 år - 01|18:38|Elverumshallen|Koppang Håndballklubb 2,Elverum Yngres Cup - Jenter 13 år - 03|20:32|Elverumshallen|Trysil,Elverum Yngres Cup - Gutter 9 år|13:04|Elverumshallen - Kortbane|Elverum 2,Elverum Yngres Cup J13 B-sluttspill|08:46|Elverumshallen|Utleira 2,Elverum Yngres Cup J14 Sluttspill|09:32|Elverumshallen|Nordstrand,Elverum Yngres Cup - Jenter 12 år - 01|15:15|Elverumshallen|Heradsbygda 3,Elverum Yngres Cup - Jenter 12 år - 01|08:19|Elvishallen|Hasle-Løren Gul,Elverum Yngres Cup - Jenter 14 år - 02|10:52|Elvishallen|Utleira,Elverum Yngres Cup - Jenter 13 år - 03|12:47|Elvishallen|Hasle-Løren 2,Elverum Yngres Cup - Gutter 11 år|08:19|Terningen Arena|Hasle-Løren Blå,Elverum Yngres Cup - Jenter 12 år - 01|08:00|Terningen Arena|Gjøvik HK,Elverum Yngres Cup - Gutter 11 år|08:38|Terningen Arena|Jotun/Årdalstangen,Elverum Yngres Cup - Gutter 11 år|09:16|Terningen Arena|Elverum,Elverum Yngres Cup - Gutter 11 år|12:07|Ydalir skole idrettshall|Elverum 2,Elverum Yngres Cup - Gutter 9 år|11:10|Ydalir skole idrettshall - Kortbane|Røros,Elverum Yngres Cup - Gutter 9 år|14:01|Ydalir skole idrettshall - Kortbane|Elverum,Elverum Yngres Cup - Gutter 9 år|14:39|Ydalir skole idrettshall - Kortbane|Hasle-Løren Gul,Elverum Yngres Cup - Jenter 14 år - 02|11:50|Søndre Elverum Idrettshall|Kongsvinger,Elverum Yngres Cup - Jenter 13 år - 03|13:55|Søndre Elverum Idrettshall|Bøler,Elverum Yngres Cup - Jenter 14 år - 02|15:04|Søndre Elverum Idrettshall|Varde 2,Elverum Yngres Cup - Jenter 13 år - 03|16:59|Søndre Elverum Idrettshall|Utleira"
