club,raw_label,division_key,headcount,school,rooms,schedule_team,games
Ring IL,J2010,J2010,11,ELVERUM UNGDOMSSKOLE,B305,Ring IL,"Elverum Yngres Cup - Jenter 12 år - 01|18:38|Elverumshallen|Koppang Håndballklubb 2,Elverum Yngres Cup - Jenter 13 år - 03|20:32|Elverumshallen|Trysil,Elverum Yngres Cup - Gutter 9 år|13:04|Elverumshallen - Kortbane|Elverum 2,Elverum Yngres Cup J13 B-sluttspill|08:46|Elverumshallen|Utleira 2,Elverum Yngres Cup J14 Sluttspill|09:32|Elverumshallen|Nordstrand,Elverum Yngres Cup - Jenter 12 år - 01|15:15|Elverumshallen|Heradsbygda 3,Elverum Yngres Cup - Jenter 12 år - 01|08:19|Elvishallen|Hasle-Løren Gul,Elverum Yngres Cup - Jenter 14 år - 02|10:52|Elvishallen|Utleira,Elverum Yngres Cup - Jenter 13 år - 03|12:47|Elvishallen|Hasle-Løren 2,Elverum Yngres Cup - Gutter 11 år|08:19|Terningen Arena|Hasle-Løren Blå,Elverum Yngres Cup - Jenter 12 år - 01|08:00|Terningen Arena|Gjøvik HK,Elverum Yngres Cup - Gutter 11 år|08:38|Terningen Arena|Jotun/Årdalstangen,Elverum Yngres Cup - Gutter 11 år|09:16|Terningen Arena|Elverum,Elverum Yngres Cup - Gutter 11 år|12:07|Ydalir skole idrettshall|Elverum 2,Elverum Yngres Cup - Gutter 9 år|11:10|Ydalir skole idrettshall - Kortbane|Røros,Elverum Yngres Cup - Gutter 9 år|14:01|Ydalir skole idrettshall - Kortbane|Elverum,Elverum Yngres Cup - Gutter 9 år|14:39|Ydalir skole idrettshall - Kortbane|Hasle-Løren Gul,Elverum Yngres Cup - Jenter 14 år - 02|11:50|Søndre Elverum Idrettshall|Kongsvinger,Elverum Yngres Cup - Jenter 13 år - 03|13:55|Søndre Elverum Idrettshall|Bøler,Elverum Yngres Cup - Jenter 14 år - 02|15:04|Søndre Elverum Idrettshall|Varde 2,Elverum Yngres Cup - Jenter 13 år - 03|16:59|Søndre Elverum Idrettshall|Utleira"
Ring IL,J2012+J2011,J2012,15,ELVERUM UNGDOMSSKOLE,B304,Ring IL,"Elverum Yngres Cup - Jenter 12 år - 01|18:38|Elverumshallen|Koppang Håndballklubb 2,Elverum Yngres Cup - Jenter 13 år - 03|20:32|Elverumshallen|Trysil,Elverum Yngres Cup - Gutter 9 år|13:04|Elverumshallen - Kortbane|Elverum 2,Elverum Yngres Cup J13 B-sluttspill|08:46|Elverumshallen|Utleira 2,Elverum Yngres Cup J14 Sluttspill|09:32|Elverumshallen|Nordstrand,Elverum Yngres Cup - Jenter 12 år - 01|15:15|Elverumshallen|Heradsbygda 3,Elverum Yngres Cup - Jenter 12 år - 01|08:19|Elvishallen|Hasle-Løren Gul,Elverum Yngres Cup - Jenter 14 år - 02|10:52|Elvishallen|Utleira,Elverum Yngres Cup - Jenter 13 år - 03|12:47|Elvishallen|Hasle-Løren 2,Elverum Yngres Cup - Gutter 11 år|08:19|Terningen Arena|Hasle-Løren Blå,Elverum Yngres Cup - Jenter 12 år - 01|08:00|Terningen Arena|Gjøvik HK,Elverum Yngres Cup - Gutter 11 år|08:38|Terningen Arena|Jotun/Årdalstangen,Elverum Yngres Cup - Gutter 11 år|09:16|Terningen Arena|Elverum,Elverum Yngres Cup - Gutter 11 år|12:07|Ydalir skole idrettshall|Elverum 2,Elverum Yngres Cup - Gutter 9 år|11:10|Ydalir skole idrettshall - Kortbane|Røros,Elverum Yngres Cup - Gutter 9 år|14:01|Ydalir skole idrettshall - Kortbane|Elverum,Elverum Yngres Cup - Gutter 9 år|14:39|Ydalir skole idrettshall - Kortbane|Hasle-Løren Gul,Elverum Yngres Cup - Jenter 14 år - 02|11:50|Søndre Elverum Idrettshall|Kongsvinger,Elverum Yngres Cup - Jenter 13 år - 03|13:55|Søndre Elverum Idrettshall|Bøler,Elverum Yngres Cup - Jenter 14 år - 02|15:04|Søndre Elverum Idrettshall|Varde 2,Elverum Yngres Cup - Jenter 13 år - 03|16:59|Søndre Elverum Idrettshall|Utleira"
Røros,"G2014,2 lag",G2014,18,ELVERUM UNGDOMSSKOLE,A002,Røros,"Elverum Yngres Cup - Jenter 9 år - 01|09:54|Elverumshallen - Kortbane|Furnes 2,Elverum Yngres Cup - Jenter 9 år - 02|10:32|Elverumshallen - Kortbane|Lensbygda,Elverum Yngres Cup - Gutter 10 år - 01|15:17|Elverumshallen - Kortbane|Trysil,Elverum Yngres Cup - Gutter 10 år - 02|15:36|Elverumshallen - Kortbane|Sverresborg 2,Elverum Yngres Cup - Jenter 13 år - 01|13:33|Elvishallen|Sverresborg 2,Elverum Yngres Cup - Jenter 11 år - 01|08:23|Elvishallen|Bjørkelangen/Høland,Elverum Yngres Cup - Jenter 11 år - 02|09:20|Elvishallen|Elverum,Elverum Yngres Cup - Jenter 11 år - 01|11:14|Elvishallen|Gjøvik HK 3,Elverum Yngres Cup - Jenter 11 år - 02|11:52|Elvishallen|Hasle-Løren Blå,Elverum Yngres Cup - Jenter 13 år - 01|19:55|Terningen Arena|Elverum,Elverum Yngres Cup - Jenter 11 år - 01|09:35|Terningen Arena|Ottestad,Elverum Yngres Cup - Jenter 11 år - 02|10:32|Terningen Arena|Jømna/Heradsbygd,Elverum Yngres Cup J13 B-sluttspill|11:45|Terningen Arena|Utleira 2,Elverum Yngres Cup - Gutter 9 år|08:00|Herneshallen - Kortbane|Skarnes,Elverum Yngres Cup - Gutter 10 år - 01|10:13|Herneshallen - Kortbane|Vaaler,Elverum Yngres Cup - Gutter 10 år - 02|11:29|Herneshallen - Kortbane|Hasle-Løren Blå,Elverum Yngres Cup - Jenter 9 år - 01|14:01|Herneshallen - Kortbane|Rena IL 2,Elverum Yngres Cup - Jenter 9 år - 02|14:58|Herneshallen - Kortbane|Skarnes 2,Elverum Yngres Cup - Jenter 9 år - 02|12:45|Herneshallen - Kortbane|Hasle-Løren Gul,Elverum Yngres Cup - Jenter 9 år - 01|13:23|Herneshallen - Kortbane|Elverum,Elverum Yngres Cup - Jenter 11 år - 01|14:20|Herneshallen|Sverresborg 2,Elverum Yngres Cup - Jenter 11 år - 02|15:17|Herneshallen|Tune Rød,Elverum Yngres Cup - Gutter 10 år - 01|10:13|Ydalir skole idrettshall - Kortbane|Elverum 2,Elverum Yngres Cup - Gutter 9 år|11:10|Ydalir skole idrettshall - Kortbane|Ring IL,Elverum Yngres Cup - Gutter 9 år|12:07|Ydalir skole idrettshall - Kortbane|Elverum 3,Elverum Yngres Cup - Gutter 10 år - 02|12:26|Ydalir skole idrettshall - Kortbane|Elverum 3,Elverum Yngres Cup - Gutter 10 år - 02|15:55|Ydalir skole idrettshall - Kortbane|Vang,Elverum Yngres Cup - Gutter 9 år|16:14|Ydalir skole idrettshall - Kortbane|Vang HL,Elverum Yngres Cup - Jenter 13 år - 01|10:18|Søndre Elverum Idrettshall|Årdalstangen,Elverum Yngres Cup - Jenter 9 år - 02|09:16|Søndre Elverum Idrettshall - Kortbane|Elverum 2,Elverum Yngres Cup - Jenter 9 år - 01|09:54|Søndre Elverum Idrettshall - Kortbane|Storhamar blå,Elverum Yngres Cup - Gutter 10 år - 01|14:01|Søndre Elverum Idrettshall - Kortbane|Hasle-Løren Rød"
Røros,G2015,G2015,11,ELVERUM UNGDOMSSKOLE,A104,Røros,"Elverum Yngres Cup - Jenter 9 år - 01|09:54|Elverumshallen - Kortbane|Furnes 2,Elverum Yngres Cup - Gutter 10 år - 02|15:36|Elverumshallen - Kortbane|Sverresborg 2,Elverum Yngres Cup - Jenter 13 år - 01|13:33|Elvishallen|Sverresborg 2,Elverum Yngres Cup - Jenter 11 år - 01|08:23|Elvishallen|Bjørkelangen/Høland,Elverum Yngres Cup - Jenter 11 år - 01|11:14|Elvishallen|Gjøvik HK 3,Elverum Yngres Cup - Jenter 13 år - 01|19:55|Terningen Arena|Elverum,Elverum Yngres Cup - Jenter 11 år - 01|09:35|Terningen Arena|Ottestad,Elverum Yngres Cup J13 B-sluttspill|11:45|Terningen Arena|Utleira 2,Elverum Yngres Cup - Gutter 9 år|08:00|Herneshallen - Kortbane|Skarnes,Elverum Yngres Cup - Gutter 10 år - 02|11:29|Herneshallen - Kortbane|Hasle-Løren Blå,Elverum Yngres Cup - Jenter 9 år - 01|14:01|Herneshallen - Kortbane|Rena IL 2,Elverum Yngres Cup - Jenter 9 år - 01|13:23|Herneshallen - Kortbane|Elverum,Elverum Yngres Cup - Jenter 11 år - 01|14:20|Herneshallen|Sverresborg 2,Elverum Yngres Cup - Gutter 9 år|11:10|Ydalir skole idrettshall - Kortbane|Ring IL,Elverum Yngres Cup - Gutter 9 år|12:07|Ydalir skole idrettshall - Kortbane|Elverum 3,Elverum Yngres Cup - Gutter 10 år - 02|12:26|Ydalir skole idrettshall - Kortbane|Elverum 3,Elverum Yngres Cup - Gutter 10 år - 02|15:55|Ydalir skole idrettshall - Kortbane|Vang,Elverum Yngres Cup - Gutter 9 år|16:14|Ydalir skole idrettshall - Kortbane|Vang HL,Elverum Yngres Cup - Jenter 13 år - 01|10:18|Søndre Elverum Idrettshall|Årdalstangen,Elverum Yngres Cup - Jenter 9 år - 01|09:54|Søndre Elverum Idrettshall - Kortbane|Storhamar blå"
Røros,J2011,J2011,14,ELVERUM UNGDOMSSKOLE,A004,Røros,"Elverum Yngres Cup - Jenter 9 år - 01|09:54|Elverumshallen - Kortbane|Furnes 2,Elverum Yngres Cup - Gutter 10 år - 02|15:36|Elverumshallen - Kortbane|Sverresborg 2,Elverum Yngres Cup - Jenter 13 år - 01|13:33|Elvishallen|Sverresborg 2,Elverum Yngres Cup - Jenter 11 år - 01|08:23|Elvishallen|Bjørkelangen/Høland,Elverum Yngres Cup - Jenter 11 år - 01|11:14|Elvishallen|Gjøvik HK 3,Elverum Yngres Cup - Jenter 13 år - 01|19:55|Terningen Arena|Elverum,Elverum Yngres Cup - Jenter 11 år - 01|09:35|Terningen Arena|Ottestad,Elverum Yngres Cup J13 B-sluttspill|11:45|Terningen Arena|Utleira 2,Elverum Yngres Cup - Gutter 9 år|08:00|Herneshallen - Kortbane|Skarnes,Elverum Yngres Cup - Gutter 10 år - 02|11:29|Herneshallen - Kortbane|Hasle-Løren Blå,Elverum Yngres Cup - Jenter 9 år - 01|14:01|Herneshallen - Kortbane|Rena IL 2,Elverum Yngres Cup - Jenter 9 år - 01|13:23|Herneshallen - Kortbane|Elverum,Elverum Yngres Cup - Jenter 11 år - 01|14:20|Herneshallen|Sverresborg 2,Elverum Yngres Cup - Gutter 9 år|11:10|Ydalir skole idrettshall - Kortbane|Ring IL,Elverum Yngres Cup - Gutter 9 år|12:07|Ydalir skole idrettshall - Kortbane|Elverum 3,Elverum Yngres Cup - Gutter 10 år - 02|12:26|Ydalir skole idrettshall - Kortbane|Elverum 3,Elverum Yngres Cup - Gutter 10 år - 02|15:55|Ydalir skole idrettshall - Kortbane|Vang,Elverum Yngres Cup - Gutter 9 år|16:14|Ydalir skole idrettshall - Kortbane|Vang HL,Elverum Yngres Cup - Jenter 13 år - 01|10:18|Søndre Elverum Idrettshall|Årdalstangen,Elverum Yngres Cup - Jenter 9 år - 01|09:54|Søndre Elverum Idrettshall - Kortbane|Storhamar blå"
Røros,J2013,J2013,21,ELVERUM UNGDOMSSKOLE,A101,Røros,"Elverum Yngres Cup - Jenter 9 år - 01|09:54|Elverumshallen - Kortbane|Furnes 2,Elverum Yngres Cup - Gutter 10 år - 02|15:36|Elverumshallen - Kortbane|Sverresborg 2,Elverum Yngres Cup - Jenter 13 år - 01|13:33|Elvishallen|Sverresborg 2,Elverum Yngres Cup - Jenter 11 år - 01|08:23|Elvishallen|Bjørkelangen/Høland,Elverum Yngres Cup - Jenter 11 år - 01|11:14|Elvishallen|Gjøvik HK 3,Elverum Yngres Cup - Jenter 13 år - 01|19:55|Terningen Arena|Elverum,Elverum Yngres Cup - Jenter 11 år - 01|09:35|Terningen Arena|Ottestad,Elverum Yngres Cup J13 B-sluttspill|11:45|Terningen Arena|Utleira 2,Elverum Yngres Cup - Gutter 9 år|08:00|Herneshallen - Kortbane|Skarnes,Elverum Yngres Cup - Gutter 10 år - 02|11:29|Herneshallen - Kortbane|Hasle-Løren Blå,Elverum Yngres Cup - Jenter 9 år - 01|14:01|Herneshallen - Kortbane|Rena IL 2,Elverum Yngres Cup - Jenter 9 år - 01|13:23|Herneshallen - Kortbane|Elverum,Elverum Yngres Cup - Jenter 11 år - 01|14:20|Herneshallen|Sverresborg 2,Elverum Yngres Cup - Gutter 9 år|11:10|Ydalir skole idrettshall - Kortbane|Ring IL,Elverum Yngres Cup - Gutter 9 år|12:07|Ydalir skole idrettshall - Kortbane|Elverum 3,Elverum Yngres Cup - Gutter 10 år - 02|12:26|Ydalir skole idrettshall - Kortbane|Elverum 3,Elverum Yngres Cup - Gutter 10 år - 02|15:55|Ydalir skole idrettshall - Kortbane|Vang,Elverum Yngres Cup - Gutter 9 år|16:14|Ydalir skole idrettshall - Kortbane|Vang HL,Elverum Yngres Cup - Jenter 13 år - 01|10:18|Søndre Elverum Idrettshall|Årdalstangen,Elverum Yngres Cup - Jenter 9 år - 01|09:54|Søndre Elverum Idrettshall - Kortbane|Storhamar blå"
Røros,J2015,J2015,20,ELVERUM UNGDOMSSKOLE,A103,Røros,"Elverum Yngres Cup - Jenter 9 år - 01|09:54|Elverumshallen - Kortbane|Furnes 2,Elverum Yngres Cup - Gutter 10 år - 02|15:36|Elverumshallen - Kortbane|Sverresborg 2,Elverum Yngres Cup - Jenter 13 år - 01|13:33|Elvishallen|Sverresborg 2,Elverum Yngres Cup - Jenter 11 år - 01|08:23|Elvishallen|Bjørkelangen/Høland,Elverum Yngres Cup - Jenter 11 år - 01|11:14|Elvishallen|Gjøvik HK 3,Elverum Yngres Cup - Jenter 13 år - 01|19:55|Terningen Arena|Elverum,Elverum Yngres Cup - Jenter 11 år - 01|09:35|Terningen Arena|Ottestad,Elverum Yngres Cup J13 B-sluttspill|11:45|Terningen Arena|Utleira 2,Elverum Yngres Cup - Gutter 9 år|08:00|Herneshallen - Kortbane|Skarnes,Elverum Yngres Cup - Gutter 10 år - 02|11:29|Herneshallen - Kortbane|Hasle-Løren Blå,Elverum Yngres Cup - Jenter 9 år - 01|14:01|Herneshallen - Kortbane|Rena IL 2,Elverum Yngres Cup - Jenter 9 år - 01|13:23|Herneshallen - Kortbane|Elverum,Elverum Yngres Cup - Jenter 11 år - 01|14:20|Herneshallen|Sverresborg 2,Elverum Yngres Cup - Gutter 9 år|11:10|Ydalir skole idrettshall - Kortbane|Ring IL,Elverum Yngres Cup - Gutter 9 år|12:07|Ydalir skole idrettshall - Kortbane|Elverum 3,Elverum Yngres Cup - Gutter 10 år - 02|12:26|Ydalir skole idrettshall - Kortbane|Elverum 3,Elverum Yngres Cup - Gutter 10 år - 02|15:55|Ydalir skole idrettshall - Kortbane|Vang,Elverum Yngres Cup - Gutter 9 år|16:14|Ydalir skole idrettshall - Kortbane|Vang HL,Elverum Yngres Cup - Jenter 13 år - 01|10:18|Søndre Elverum Idrettshall|Årdalstangen,Elverum Yngres Cup - Jenter 9 år - 01|09:54|Søndre Elverum Idrettshall - Kortbane|Storhamar blå"
Skarnes,G2015,G2015,10,ELVERUM UNGDOMSSKOLE,B307,Skarnes,"Elverum Yngres Cup - Jenter 9 år - 03|11:48|Elverumshallen - Kortbane|Hasle-Løren Rød,Elverum Yngres Cup - Gutter 9 år|14:01|Elverumshallen - Kortbane|Elverum 2,Elverum Yngres Cup - Gutter 9 år|08:00|Herneshallen - Kortbane|Røros,Elverum Yngres Cup - Jenter 9 år - 03|15:55|Herneshallen - Kortbane|Furnes,Elverum Yngres Cup - Jenter 9 år - 03|11:10|Herneshallen - Kortbane|Røros 3,Elverum Yngres Cup - Gutter 9 år|11:29|Ydalir skole idrettshall - Kortbane|Elverum,Elverum Yngres Cup - Gutter 9 år|13:42|Ydalir skole idrettshall - Kortbane|Vang HL,Elverum Yngres Cup - Jenter 9 år - 03|08:00|Søndre Elverum Idrettshall - Kortbane|Vaaler"
Skarnes,"J2015,2 lag",J2015,23,ELVERUM UNGDOMSSKOLE,B309,Skarnes 2,"Elverum Yngres Cup - Jenter 9 år - 02|10:51|Elverumshallen - Kortbane|Hasle-Løren Gul,Elverum Yngres Cup - Jenter 9 år - 03|11:48|Elverumshallen - Kortbane|Hasle-Løren Rød,Elverum Yngres Cup - Gutter 9 år|14:01|Elverumshallen - Kortbane|Elverum 2,Elverum Yngres Cup - Gutter 9 år|08:00|Herneshallen - Kortbane|Røros,Elverum Yngres Cup - Jenter 9 år - 02|14:58|Herneshallen - Kortbane|Røros 2,Elverum Yngres Cup - Jenter 9 år - 03|15:55|Herneshallen - Kortbane|Furnes,Elverum Yngres Cup - Jenter 9 år - 03|11:10|Herneshallen - Kortbane|Røros 3,Elverum Yngres Cup - Jenter 9 år - 02|12:26|Herneshallen - Kortbane|Elverum 2,Elverum Yngres Cup - Gutter 9 år|11:29|Ydalir skole idrettshall - Kortbane|Elverum,Elverum Yngres Cup - Gutter 9 år|13:42|Ydalir skole idrettshall - Kortbane|Vang HL,Elverum Yngres Cup - Jenter 9 år - 03|08:00|Søndre Elverum Idrettshall - Kortbane|Vaaler,Elverum Yngres Cup - Jenter 9 år - 02|08:57|Søndre Elverum Idrettshall - Kortbane|Storhamar gul"
Skjetten,J2008,J2008,17,YDALIR,1.072,Skjetten,"Elverum Yngres Cup - Jenter 16 år - 01|19:39|Elvishallen|Jardar/Asker,Elverum Yngres Cup - Jenter 16 år - 01|17:00|Elvishallen|Lervik,Elverum Yngres Cup J16 sluttspill|14:03|Terningen Arena|AFSK,Elverum Yngres Cup J16 sluttspill|17:30|Terningen Arena|Jardar/Asker,Elverum Yngres Cup - Jenter 16 år - 01|10:41|Søndre Elverum Idrettshall|AFSK"
Storhamar,"J2012,2 lag",J2012,22,ELVERUM UNGDOMSSKOLE,B301,Storhamar 2,"Elverum Yngres Cup - Jenter 12 år - 02|18:19|Elverumshallen|Gjøvik HK 2,Elverum Yngres Cup - Jenter 12 år - 03|19:16|Elverumshallen|Ottestad,Elverum Yngres Cup - Jenter 12 år - 03|14:43|Elvishallen|Heradsbygda,Elverum Yngres Cup - Jenter 12 år - 02|12:26|Terningen Arena|Hasle-Løren Rød,Elverum Yngres Cup - Jenter 12 år - 03|13:23|Terningen Arena|Hasle-Løren Blå,Elverum Yngres Cup - Jenter 12 år - 03|08:00|Ydalir skole idrettshall|Jotun 2,Elverum Yngres Cup - Jenter 12 år - 02|09:16|Ydalir skole idrettshall|Lensbygda,Elverum Yngres Cup - Jenter 12 år - 02|15:19|Søndre Elverum Idrettshall|Jotun"
Sverresborg,"G2012,2 lag",G2012,16,ELVIS,C126,Sverresborg 2,"Elverum Yngres Cup - Jenter 10 år - 02|08:38|Elverumshallen - Kortbane|Elverum 2,Elverum Yngres Cup - Gutter 10 år - 01|12:26|Elverumshallen - Kortbane|Hasle-Løren Rød,Elverum Yngres Cup - Gutter 10 år - 02|15:36|Elverumshallen - Kortbane|Røros,Elverum Yngres Cup J13 B-sluttspill|10:41|Elverumshallen|Jømna/Heradsbygd,Elverum Yngres Cup - Gutter 12 år - 01|11:27|Elverumshallen|Elverum,Elverum Yngres Cup - Gutter 12 år - 02|12:24|Elverumshallen|Elverum 2,Elverum Yngres Cup - Jenter 12 år - 04|14:37|Elverumshallen|Koppang,Elverum Yngres Cup - Jenter 13 år - 02|08:57|Elvishallen|Jømna/Heradsbygd,Elverum Yngres Cup - Jenter 13 år - 02|11:38|Elvishallen|Hasle-Løren,Elverum Yngres Cup - Jenter 13 år - 01|13:33|Elvishallen|Røros,Elverum Yngres Cup - Gutter 12 år - 01|15:28|Elvishallen|Gjøvik HK,Elverum Yngres Cup - Gutter 12 år - 01|18:09|Elvishallen|Heradsbygda,Elverum Yngres Cup - Jenter 11 år - 01|08:42|Elvishallen|Elverum 3,Elverum Yngres Cup - Jenter 11 år - 03|10:17|Elvishallen|HK Vestre Toten 2,Elverum Yngres Cup - Jenter 11 år - 03|12:30|Elvishallen|Tune Grønn,Elverum Yngres Cup - Gutter 12 år - 02|15:40|Elvishallen|Kolbu KK,Elverum Yngres Cup - Jenter 13 år - 01|20:18|Terningen Arena|Årdalstangen,Elverum Yngres Cup - Jenter 11 år - 01|08:57|Terningen Arena|Gjøvik HK 3,Elverum Yngres Cup - Jenter 11 år - 03|10:51|Terningen Arena|Elverum 2,Elverum Yngres Cup - Jenter 12 år - 04|14:58|Terningen Arena|Hasle-Løren Grønn,Elverum Yngres Cup J13 A-sluttspill|10:44|Terningen Arena|Årdalstangen,Elverum Yngres Cup J13 B-sluttspill|12:08|Terningen Arena|Hasle-Løren 2,Elverum Yngres Cup - Gutter 10 år - 01|09:16|Herneshallen - Kortbane|Furnes,Elverum Yngres Cup - Gutter 10 år - 02|10:32|Herneshallen - Kortbane|Elverum 3,Elverum Yngres Cup - Jenter 10 år - 02|12:45|Herneshallen - Kortbane|Hasle-Løren Grønn,Elverum Yngres Cup - Jenter 10 år - 03|13:42|Herneshallen - Kortbane|Hasle-Løren Rød,Elverum Yngres Cup - Jenter 12 år - 04|08:00|Herneshallen|Heradsbygda 2,Elverum Yngres Cup - Jenter 10 år - 02|09:54|Herneshallen - Kortbane|Flisa 2,Elverum Yngres Cup - Jenter 10 år - 03|10:32|Herneshallen - Kortbane|Lisleby Gul,Elverum Yngres Cup - Jenter 11 år - 01|14:20|Herneshallen|Røros,Elverum Yngres Cup - Jenter 10 år - 03|08:38|Ydalir skole idrettshall - Kortbane|Trysil IL,Elverum Yngres Cup - Gutter 12 år - 01|08:57|Ydalir skole idrettshall|Ottestad 2,Elverum Yngres Cup - Gutter 12 år - 02|09:35|Ydalir skole idrettshall|Ottestad,Elverum Yngres Cup - Jenter 12 år - 04|11:10|Ydalir skole idrettshall|Rena IL,Elverum Yngres Cup - Jenter 11 år - 01|13:04|Ydalir skole idrettshall|Ottestad,Elverum Yngres Cup - Gutter 10 år - 01|09:54|Ydalir skole idrettshall - Kortbane|Elverum,Elverum Yngres Cup - Gutter 10 år - 02|12:45|Ydalir skole idrettshall - Kortbane|Hasle-Løren Blå,Elverum Yngres Cup - Gutter 10 år - 02|15:36|Ydalir skole idrettshall - Kortbane|Rena IL,Elverum Yngres Cup - Jenter 13 år - 01|09:32|Søndre Elverum Idrettshall|Elverum,Elverum Yngres Cup - Gutter 12 år - 02|12:31|Søndre Elverum Idrettshall|Gjøvik HK 2,Elverum Yngres Cup - Jenter 13 år - 02|13:09|Søndre Elverum Idrettshall|Borgen,Elverum Yngres Cup - Jenter 13 år - 02|16:36|Søndre Elverum Idrettshall|Utleira 2,Elverum Yngres Cup - Jenter 10 år - 03|12:45|Søndre Elverum Idrettshall - Kortbane|HK Vestre Toten,Elverum Yngres Cup - Jenter 10 år - 02|13:04|Søndre Elverum Idrettshall - Kortbane|Lisleby Blå,Elverum Yngres Cup - Gutter 10 år - 01|14:20|Søndre Elverum Idrettshall - Kortbane|Trysil,Elverum Yngres Cup - Jenter 11 år - 03|15:38|Søndre Elverum Idrettshall|Jardar Blå"
